Hortaliças tuberosas,Inhame - Cru(a),100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Inhame - Cozido(a),100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Inhame - Assado(a),90,02.01,0.15,20.71,3.3
Hortaliças tuberosas,Inhame - Frito(a),115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Inhame - Refogado(a),115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Inhame - Ensopado,115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Inhame - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Quicaré,100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Mandioca - Cru(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Mandioca - Cozido(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Mandioca - Assado(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Mandioca - Frito(a),162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Mandioca - Refogado(a),162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Mandioca - Molho vermelho,104.8,0.74,0.28,25.16,1.58
Hortaliças tuberosas,Mandioca - Com manteiga/óleo,154.6,0.61,4.34,28.6,1.52
Hortaliças tuberosas,Mandioca - Ensopado,162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Mandioca - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Mandioca,125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Aipim - Cozido(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Aipim - Assado(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Aipim - Frito(a),162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Aipim - Empanado(a)/à milanesa,162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Aipim - Refogado(a),162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Aipim - Molho vermelho,104.8,0.74,0.28,25.16,1.58
Hortaliças tuberosas,Aipim - Com manteiga/óleo,154.6,0.61,4.34,28.6,1.52
Hortaliças tuberosas,Aipim - Ensopado,162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Aipim - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Aipim,125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Macaxeira - Cru(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Macaxeira - Cozido(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Macaxeira - Assado(a),125,0.6,0.3,30.1,1.6
Hortaliças tuberosas,Macaxeira - Frito(a),162.74,0.57,5.26,28.6,1.52
Hortaliças tuberosas,Cará - Cozido(a),100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Cará - Frito(a),115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Cará - Refogado(a),115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Cará - Ensopado,115.74,1.71,1.9,23.4,1.8
Hortaliças tuberosas,Cará - Mingau,100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Cará - Sopa,31.44,0.95,0.12,07.01,0.71
